"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"Verdenking_intra_uteriene_groeivertraging_OBS","factor",2733,0.0460732984293194,3,NA,NA,2532,"No",NA,0.136273211546641,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Verwijzing_zwangerschap_OBS","integer",2743,0.0425828970331588,4,0.539919795843966,1,1,NA,1.78037141798537,NA,0,90,90,46.2469808495819,494.684125183495,2321.07464226218,12418.2833784175,NA,NA
"Graviditeit_OBS","numeric",2772,0.0324607329842932,10,1.97330447330447,2,2,NA,1.10051077853176,NA,0,8,8,1.42984881174298,15.375028699993,2.71264054301874,14.589630370711,NA,NA
"Mater_voor_partus_OBS","numeric",2772,0.0324607329842932,6,0.690836940836941,1,1,NA,0.77446789879963,NA,0,4,4,0.963327212957716,10.3585661820108,0.560272273394365,3.01336105766715,NA,NA
"Pariteit_OBS","numeric",2772,0.0324607329842932,6,0.697330447330447,1,1,NA,0.779811173071962,NA,0,4,4,0.972161425517153,10.4535596320369,0.610188666415727,3.28183073216754,NA,NA
"OVG_diabetes_gravidarum_OBS","factor",2247,0.215706806282723,3,NA,NA,2169,"No",NA,0.0670159233227747,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OVG_pre_eclampsie_OBS","factor",2291,0.200349040139616,3,NA,NA,2233,"No",NA,0.0493510655343696,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OVG_vroeggeboorte_OBS","factor",2364,0.174869109947644,3,NA,NA,2284,"No",NA,0.0653914756313685,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HG_pre_existente_aandoening_en_OBS","factor",2790,0.0261780104712042,3,NA,NA,2555,"Yes",NA,0.154269600853021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BMI_Start_gewicht_OBS","numeric",2718,0.0513089005235602,1334,24.5481566343973,23.5129145408163,23.5129145408163,NA,5.28843525484543,NA,16.1353938828929,172.839506172839,156.704112289947,8.84421239103452,94.1711241382781,226.901198271517,1208.43890754271,NA,NA
"Para_voor_huidige_partus_OBS","numeric",2750,0.0401396160558464,6,0.802545454545455,1,1,NA,0.834370389905572,NA,0,4,4,0.856291019137644,9.17104483300232,0.266379151350862,1.42700379766018,NA,NA
"Type_partus_OBS","factor",2701,0.0572425828970332,3,NA,NA,1709,"Spontaan",NA,0.464766227380784,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Complicaties_na_bevalling_OBS","integer",2699,0.0579406631762653,5,0.300111152278622,0,0,NA,0.464016518429258,NA,0,4,4,1.03849989541178,11.0190321190749,0.228965227137462,1.21516977907892,NA,NA
"Kind_geslacht_OBS","factor",2734,0.0457242582897033,3,NA,NA,1380,"Jongen",NA,0.499954781132655,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kind_gewicht_percentiel_OBS","numeric",2607,0.0900523560209424,108,49.884388185654,49,49,NA,42.7300858393714,NA,0,999,999,12.5299615570981,130.666514767328,275.894542556757,1439.10923483302,NA,NA
"Kind_apgar_1_minuut_OBS","numeric",2727,0.0481675392670157,13,12.2009534286762,9,9,NA,191.318556663528,NA,0,9999,9999,52.1581771125744,556.285895930049,2719.64942014951,14508.3279299796,NA,NA
"Kind_apgar_5_minuten_OBS","numeric",2728,0.0478184991273997,12,9.5274926686217,10,10,NA,1.22795008221833,NA,0,19,19,-4.18174754496753,-44.6080235588299,30.1979831626237,161.124597754106,NA,NA
"Kind_apgar_10_minuten_OBS","numeric",2717,0.0516579406631763,12,9.77401545822598,10,10,NA,1.02639062807999,NA,0,20,20,-5.69767921196462,-60.6564189111052,64.4920234407157,343.410961026138,NA,NA
